22:38:24.386 [main] DEBUG eventLog - test event log
22:38:24.386 [main] DEBUG eventLog - test event log
22:38:25.170 [main] INFO  com.example.alfred.AlfredApplication - Starting AlfredApplication using Java 1.8.0_231 on LAPTOP-6J299RGS with PID 112952 (C:\Users\glady\Desktop\ms-cs\sem4\ase\ALF_red\alfred\alfred_new\target\classes started by glady in C:\Users\glady\Desktop\ms-cs\sem4\ase\ALF_red\alfred\alfred_new)
22:38:25.178 [main] INFO  com.example.alfred.AlfredApplication - No active profile set, falling back to default profiles: default
22:38:27.010 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 7003 (http)
22:38:27.034 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7003"]
22:38:27.034 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
22:38:27.034 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.45]
22:38:27.138 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22:38:27.138 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1904 ms
22:38:27.722 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7003"]
22:38:27.754 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 7003 (http) with context path ''
22:38:27.762 [main] INFO  com.example.alfred.AlfredApplication - Started AlfredApplication in 3.233 seconds (JVM running for 4.834)
